first played, last played, playtime/mins, money,jrmcStrI,jrmcDexI,jrmcCnsI,jrmcWilI,jrmcIntI,jrmcCncI
1658606121986,1658665902818,187881,0.0,20,19,10,15,20,7
1678671747941,1678672186348,8631,0,15,10,10,15,5,5
1662627546057,1662627764861,4195,0,15,10,10,15,5,5
1672203124208,1672204960065,36405,0.0,14,10,10,15,10,5
1655655834472,1655659078943,59016,0,13,10,10,15,14,5
1651565738032,1657616261588,874116,938.0,70,75,75,15,85,10
1684692761456,1685395712551,526138,253.5,28,15,15,15,80,10
1652824737833,1659035241736,10494,0.0,15,10,10,15,5,5
1572843500562,1682867838103,10901774,632.1987296232230616,10,720,15,150,500,145
1516902629292,1688958895534,27848234,23120.49,52174,26804,50452,201,3000,20000
1663448938088,1663450156697,51510,0.0,15,10,10,15,5,5
1658708589484,1658709417974,16070,0.0,15,10,10,15,5,5
1683289169928,1683291962317,55266,0.0,23,10,14,15,5,5
1662761828068,1688218972947,41954558,3740881.180,10,33000,38100,43103,1675,35801
1631909873694,1686397377925,1715417,999.0,184,30,70,20,165,85
1648494089077,1649069381779,3904326,24357.0,1225,42,2170,10,440,200
1665944782193,1665953000039,67739,0.0,15,10,10,15,5,5
1648949182021,1648950159662,17048,0,10,10,10,15,10,5
1654825383941,1654827278318,37558,0.0,10,10,10,15,10,5
1684583121878,1684602129496,77142,0.0,20,15,11,15,15,11
1679747885634,1688648025306,3564440,1491.558161492209785,430,450,600,100,425,370
1535905178181,1680369866274,10403779,47952.20,1000,830,1000,400,735,700
1651433449726,1651438811243,103124,0.0,15,10,10,15,5,5
1681798477944,1682079376947,746534,46.250,101,55,65,15,49,33
1630770597786,1656277643784,17594940,207827.725,13000,13000,21000,10,3000,5800
1661525385173,1661525947968,10752,0,15,10,10,15,5,5
1689136957019,1689139457767,49747,0,10,10,10,15,10,5
1654765061090,1654765848493,15376,0,10,10,10,15,10,5
1674506625000,1683022601387,55448,0.0,20,14,10,15,14,5
1653314124339,1656548243998,4630790,224.48,865,331,425,15,285,291
1659088364371,1661003660303,71234,0,15,16,11,15,11,5
1686930104692,1686930981244,39804,0,15,10,10,15,5,5
1637223725514,1656829404457,16858,0,15,10,10,15,5,5
1685607529606,1685608907109,26933,0.0,15,10,10,15,5,5
1634774729875,1685372279158,21507456,3023.99,22550,15102,20000,10,2423,13000
1661423795826,1661433060109,108262,0.0,16,11,16,10,20,18
1673755328609,1674181764047,3109331,0.0,52,52,40,15,55,10
1674865755970,1674873178387,102200,23.0,33,14,14,17,7,6
1652139363800,1652165520387,434295,5218.0,60,51,66,15,50,47
1662354256576,1662411173534,26855,0.0,15,10,10,15,5,5
1653658321915,1653659404095,21501,0.0,12,10,10,15,10,5
1668991527182,1669491574728,188753,0.0,20,10,15,15,15,10
1675565772323,1675567211412,28088,0.0,5,5,7,10,15,18
1662335774220,1662394489390,71619,0.0,18,5,16,13,20,20
1665333471751,1665399959162,122450,0.0,35,20,21,15,5,5
1670711706243,1671327509261,1034055,0.0,38,74,43,14,77,38
1683316938582,1683317346637,7929,0,10,15,8,7,10,10
1683051800877,1683055508155,73350,0.0,18,10,13,15,16,5
1613277986359,1670802162471,820236,0.0,104,28,89,15,102,31
1671814776928,1671820491599,113518,0.0,37,16,11,16,14,11
1662149552276,1666123675402,1286206,62.0,51,20,45,15,56,20
1661232363924,1661245055359,2841505,0,16,10,14,15,13,5
1673830497211,1673903708110,128155,0.0,29,10,10,16,17,11
1537529772254,1657322149671,3107410,0.0,850,810,800,800,1020,750
1622474920148,1689120881151,3289902,823.5201272806530376,37,37,37,15,30,5
1682163085604,1683658947087,5173625,2391.535,290,240,500,60,1600,300
1615125239785,1661767611023,6154214,2678.0,400,200,500,70,365,300
1659267519104,1683081205336,28935760,48692.50,15,15000,15000,54600,3455,30000
1655328323705,1657567723515,215092,0.0,35,25,20,15,20,10
1652975305729,1689169548840,3927494,12622.33,393,169,325,20,375,71
1620395071547,1686497705270,1580943,206.0,53,53,40,25,145,45
1671875637801,1671876588786,1098009,0.0,20,10,10,15,5,5
1623724973605,1676061435012,3790748,1365.075,13,12,13,15,25,5
1665001769857,1665175846469,536422,0.0,81,50,55,15,155,20
1661282200668,1661282911564,13707,0,15,10,10,15,5,5
1654747775740,1654747928233,2928,0,15,10,10,15,5,5
1674479263146,1674592935921,58736,0.0,24,15,10,15,7,5
1673803934814,1674057724182,93235,0.0,20,10,10,15,6,5
1675872320692,1675913529797,381441,0.0,54,30,26,26,20,15
1672594314753,1674854204768,16021700,153.0,500,250,1200,16,160,110
1675378017538,1675380584873,50975,0,15,10,10,15,5,5
1645897248631,1658676177361,1742535,75.99,129,75,175,15,100,40
1671747289823,1671747914191,12072,0,10,5,15,10,5,15
1647479094463,1648932474616,272748,0.0,50,50,82,15,50,13
1660920119834,1660920665133,10700,0,10,5,15,10,5,15
1658889225379,1658889278208,912,0,15,10,10,15,5,5
1668521659969,1668521718581,1071,0,10,5,15,10,5,15
1629389614200,1687939327369,1652357,8032.0,41,37,35,15,105,18
1685491073595,1689143154710,40642421,1359285.225,19000,19000,26000,15,540,8000
1627751221199,1657568560233,7604309,1436.125,5300,4000,8100,100,500,2400
1657623425617,1686416830933,3329224,28537.0,888,860,900,10,280,300
1550583599929,1655183947514,3535755,0.0,10,5,15,10,30,15
1653425920550,1653430425130,67668,0,16,10,10,17,5,5
1679887205704,1681952485803,7878,0,15,10,10,15,5,5
1680402249366,1680402533506,5596,0,15,10,10,15,5,5
1655770262020,1655771424282,21814,0,15,11,11,15,5,5
1658794263635,1659057888412,24287,0.0,11,5,15,10,5,15
1673062910507,1688959802272,13774904,278.0,1000,425,1210,10,335,420
1664198730978,1664267515319,663323,997.350,150,40,80,20,110,100
1661545213897,1686344633823,1524128,669.0,10,5,15,10,5,15
1678116608169,1678116901307,5511,0,15,10,10,15,5,5
1668462758061,1668479559724,41818,0,23,22,23,15,5,5
1650254258610,1650255492658,24522,0,15,10,10,15,5,5
1678928701034,1678931134471,48433,0,10,10,10,10,10,10
1647215610026,1649460976840,16842,0.0,15,10,10,15,5,5
1656871078663,1657739834766,471796,601.125,86,23,52,15,75,11
1666358359193,1666361766346,257258,0.0,15,10,10,15,5,5
1658711335232,1658712898012,30968,0,15,10,10,15,5,5
1635740105647,1673048643012,8486515,0,1500,1500,2000,15,475,500
1675457399310,1675805806971,1018263,0.0,23,12,12,10,15,18
1662442841430,1672803836501,10888,0.0,15,10,10,15,5,5
